loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l11ex.started,l11ex.stopped,l21ex.started,l21ex.stopped,t11ex.started,t11ex.stopped,tTex.started,tTex.stopped,fix1.started,fix1.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.started,trial1Resp.stopped,breakText1.started,breakText1.stopped,breakResp1.keys,breakResp1.rt,breakResp1.started,breakResp1.stopped,fix2.started,fix2.stopped,trial2Fix.started,trial2Fix.stopped,trial2L11.started,trial2L11.stopped,trial2L12.started,trial2L12.stopped,trial2L21.started,trial2L21.stopped,trial2L22.started,trial2L22.stopped,trial2T11.started,trial2T11.stopped,trial2T12.started,trial2T12.stopped,trial2TT.started,trial2TT.stopped,trial2Resp.keys,trial2Resp.corr,trial2Resp.started,trial2Resp.stopped,breakText2.started,breakText2.stopped,breakResp2.keys,breakResp2.rt,breakResp2.started,breakResp2.stopped,fix3.started,fix3.stopped,trial3Fix.started,trial3Fix.stopped,Trial3L11.started,Trial3L11.stopped,Trial3L12.started,Trial3L12.stopped,Trial3L21.started,Trial3L21.stopped,Trial3L22.started,Trial3L22.stopped,Trial3T11.started,Trial3T11.stopped,Trial3T12.started,Trial3T12.stopped,Trial3TT.started,Trial3TT.stopped,trial3Resp.keys,trial3Resp.corr,trial3Resp.started,trial3Resp.stopped,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,0.2,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,None,None,None,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,96.958639999968,97.95847880002111,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,None,1,93.9768088000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9751513999654,None,space,2.4204212999902666,97.9751513999654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,-0.4,-0.2,0.4,-0.2,0.0,0.0,-0.2,0.2,None,None,-0.4,0.2,space,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4245483999839,None,104.44017379998695,None,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,None,0,101.45921240001917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,None,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4225626999978,109.4225050000241,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,None,1,105.44196760002524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.2,0.2,0.4,-0.2,0.4,0.0,0.2,0.2,None,None,0.0,0.0,0.0,-0.2,space,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.43815669999458,None,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,None,0,109.44399229995906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
None,None,0.0,0.2,0.4,-0.2,-0.4,-0.2,0.0,0.0,0.2,0.2,0.2,-0.2,space,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.42477669997606,None,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,None,0,113.43967029999476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,-0.2,0.2,0.4,-0.2,0.0,0.2,0.0,-0.2,-0.4,-0.2,None,None,None,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.41952789993957,121.41926440002862,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,None,1,117.43796629994176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,-0.2,0.4,-0.2,None,None,-0.4,0.0,0.4,0.2,0.0,0.2,0.4,0.0,space,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.41851170000155,125.41828939993866,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,None,0,121.43634819996078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.0,0.4,0.2,0.0,0.2,0.2,0.2,0.4,-0.2,-0.4,-0.2,None,None,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.41744420002215,129.41730580001604,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,None,1,125.43545019999146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.2,0.2,None,None,0.4,0.2,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,-0.2,space,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.41672159999143,133.41641710000113,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,None,0,129.43577129999176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,0.2,0.2,None,None,0.0,-0.2,0.4,-0.2,0.0,0.2,0.4,0.2,space,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.41568830003962,137.415355599951,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,133.43402159994002,136.44891659996938,None,0,133.43402159994002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,-0.2,0.0,0.0,-0.4,-0.2,0.2,0.2,0.0,0.2,0.4,0.2,None,None,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.41457819996867,141.4143814999843,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,137.44825539994054,140.44822310004383,None,1,137.44825539994054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,None,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4136927999789,145.41340810002293,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,141.43176599999424,144.44698140001856,None,1,141.43176599999424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
